NCBI GeneID,Transcript Accession,Transcript_length
6732347,XM_016180148.3,958
6734902,XM_002081863.4,1265
6725632,XM_002106603.4,1382
6737787,XM_002084579.4,1719
27206595,XM_016181153.3,2233
27206595,XM_016181154.3,2044
27206595,XM_016181152.3,1862
6739897,XM_016180986.3,1997
6731127,XM_016178930.2,1107
6738353,XM_002085127.3,723
6738353,XM_016169385.3,339
6724962,XM_002105962.4,2433
6732348,XM_039298660.2,992
6732348,XM_016180150.3,852
6729868,XM_016174553.3,1154
6729868,XM_016174552.3,1200
6724920,XM_016173312.3,1809
6729693,XM_016177561.3,3046
6725576,XM_002106550.4,1557
6727070,XM_016175851.1,2891
6727070,XM_039295706.2,2647
6727070,XM_039295707.2,2259
6727219,XM_016176314.3,3156
6737625,XM_002084421.4,857
6740158,XM_002077000.4,5314
6740158,XM_039296154.2,2359
6740158,XM_016181115.3,2185
6731131,XM_016179628.2,1932
6731131,XM_002078253.4,2135
6728385,XM_016176848.2,918
6734869,XM_002081834.4,1618
6726541,XM_016174220.3,2467
6726541,XM_002107460.3,2451
6731126,XM_002078247.4,499
6730163,XM_002105418.3,571
6730164,XM_016174154.3,746
6730164,XM_016174153.3,737
6730164,XM_002105419.2,683
6734871,XM_039291298.1,1593
6727783,XM_039294541.2,2421
6727783,XM_039294542.2,2393
6727783,XM_039294544.2,2342
6727783,XM_039294545.2,2291
6730715,XM_039291276.2,3707
6730715,XM_039291279.2,3260
6730715,XM_039291277.2,4237
6730715,XM_039291278.2,3216
6732838,XM_002079915.4,2406
6725604,XM_016172778.3,4799
6728274,XM_039294980.2,4400
6728274,XM_039294981.2,4357
6728719,XM_002104019.3,407
6724768,XM_016173243.3,1501
6732777,XM_016178103.3,1931
6732777,XM_016178102.3,2087
6725392,XM_016172874.3,3536
6725392,XM_016172875.3,3614
6725392,XM_044923575.1,2878
6735394,XM_002082305.3,766
6728943,XM_002104235.3,649
6727008,XM_002102373.4,2538
6727008,XM_016175878.3,2553
6727008,XM_016175876.3,2297
6727008,XM_016175877.3,2312
6737325,XM_002084127.4,2360
6725342,XM_044923750.1,5591
6730162,XM_002105417.2,662
6728840,XM_002104138.4,3450
