NCBI GeneID,Protein Accession,Protein_length
6732347,XP_016024999.1,256
6734902,XP_002081899.1,335
6725632,XP_002106639.1,379
6737787,XP_002084615.1,542
27206595,XP_016040069.1,502
27206595,XP_016040070.1,524
27206595,XP_016040071.1,502
6739897,XP_016037524.1,541
6731127,XP_016023677.1,255
6738353,XP_002085163.2,184
6738353,XP_016032195.1,36
6724962,XP_002105998.3,573
6732348,XP_016025001.1,206
6732348,XP_039154594.1,272
6729868,XP_016036617.1,155
6729868,XP_016036618.1,155
6724920,XP_016037778.1,481
6729693,XP_016036358.1,896
6725576,XP_002106586.3,459
6727070,XP_016033564.2,625
6727070,XP_039151640.1,625
6727070,XP_039151641.1,612
6727219,XP_016033714.1,879
6737625,XP_002084457.1,153
6740158,XP_002077036.1,1402
6740158,XP_016037188.1,575
6740158,XP_039152088.1,586
6731131,XP_002078289.1,360
6731131,XP_016023684.1,353
6728385,XP_016034993.2,233
6734869,XP_002081870.3,494
6726541,XP_002107496.1,510
6726541,XP_016040198.1,507
6731126,XP_002078283.1,90
6730163,XP_002105454.2,140
6730164,XP_002105455.2,135
6730164,XP_016036924.1,119
6730164,XP_016036925.1,119
6734871,XP_039147232.1,494
6727783,XP_039150475.1,389
6727783,XP_039150476.1,380
6727783,XP_039150478.1,363
6727783,XP_039150479.1,346
6730715,XP_039147210.1,630
6730715,XP_039147211.1,591
6730715,XP_039147212.1,591
6730715,XP_039147213.1,591
6732838,XP_002079951.2,599
6725604,XP_016038804.1,1405
6728274,XP_039150914.1,1349
6728274,XP_039150915.1,1335
6728719,XP_002104055.1,40
6724768,XP_016037526.1,346
6732777,XP_016025490.1,510
6732777,XP_016025491.1,475
6725392,XP_016038443.1,1132
6725392,XP_016038444.1,1158
6725392,XP_044779510.1,900
6735394,XP_002082341.2,142
6728943,XP_002104271.1,105
6727008,XP_002102409.2,489
6727008,XP_016033497.1,413
6727008,XP_016033498.1,418
6727008,XP_016033499.1,494
6737325,XP_002084163.1,337
6725342,XP_044779685.1,721
6730162,XP_002105453.1,148
6728840,XP_002104174.2,972
6730181,XP_002105472.1,348
6730181,XP_016036938.1,247
6737389,XP_016031131.1,606
6737389,XP_016031132.1,608
6737389,XP_016031134.1,606
6737389,XP_016031136.1,608
6737389,XP_016031138.1,608
6737389,XP_039149482.1,608
6737389,XP_039149483.1,608
6737389,XP_039149484.1,608
6737389,XP_039149485.1,606
6737389,XP_039149486.1,606
6737389,XP_039149488.1,580
6737389,XP_039149490.1,579
6737389,XP_039149492.1,580
6737389,XP_044779055.1,580
6729286,XP_016035927.1,1961
6734800,XP_002081803.1,493
6738339,XP_002085149.1,666
6740029,XP_039152470.1,857
6740029,XP_039152471.1,857
6740029,XP_039152473.1,815
6736591,XP_016030187.1,717
6730202,XP_002105487.1,63
6724720,XP_016037329.1,899
6724720,XP_016037331.1,839
6724720,XP_016037332.1,858
6727559,XP_016034141.1,957
6727559,XP_016034147.1,765
6727559,XP_039151661.1,796
6727559,XP_039151662.1,789
6729369,XP_016036011.1,336
6729369,XP_039151833.1,336
6731504,XP_002078652.1,234
6725263,XP_016038268.1,174
6727485,XP_002102865.1,385
6727485,XP_016034076.1,404
6726226,XP_016039754.2,1446
6726226,XP_044779707.1,1354
2760953,NP_982334.1,312
2760954,NP_982329.1,573
2760955,NP_982330.1,446
2760956,NP_982324.1,228
2760957,NP_982326.1,224
2760958,NP_982325.1,53
2760959,NP_982322.1,341
2760960,NP_982327.1,262
2760961,NP_982331.1,96
2760962,NP_982323.2,511
2760963,NP_982332.1,174
2760964,NP_982328.1,117
2760965,NP_982333.1,378
6731455,XP_016024109.1,206
6725000,XP_039153989.1,2695
6734326,XP_002081349.1,225
6735393,XP_002082340.1,136
6728463,XP_016035085.1,149
6735802,XP_016029185.1,491
6726041,XP_016039421.1,1038
6726041,XP_016039423.1,1038
6731979,XP_002079113.1,142
6727955,XP_016034553.1,376
6729104,XP_002104425.1,437
6729104,XP_016035748.1,437
6729504,XP_016036177.1,784
6734418,XP_016029711.1,522
6734418,XP_016029712.1,522
6734418,XP_039149389.1,522
6734418,XP_039149390.1,522
6734418,XP_039149391.1,515
6730166,XP_016036926.1,530
6729455,XP_002104765.1,1067
6729455,XP_039151173.1,1087
6727390,XP_016033926.1,462
6727390,XP_016033927.1,410
6727996,XP_016034596.1,1096
6728741,XP_016035409.1,2883
27206376,XP_016037527.1,257
6726906,XP_016033416.1,154
6732775,XP_002079888.1,510
6732775,XP_016025488.1,510
6729207,XP_016035859.2,1379
6729207,XP_039150617.1,1135
6729207,XP_039150618.1,1051
6729207,XP_039150619.1,533
6729207,XP_044779229.1,533
6730371,XP_002105653.1,484
6730371,XP_039151056.1,434
6730371,XP_039151057.1,461
6730371,XP_039151058.1,434
6737935,XP_002084754.1,55
6726907,XP_002102309.1,141
6729112,XP_002104433.1,557
6725084,XP_039153343.1,971
6727018,XP_002102416.1,413
6732669,XP_016025384.1,946
6737597,XP_002084429.1,355
6728451,XP_039151887.1,644
6728855,XP_002104189.1,584
6738161,XP_016031993.1,1099
6738161,XP_016031994.1,992
6738161,XP_039149341.1,984
6738161,XP_039149342.1,981
6727774,XP_002103136.3,500
6727774,XP_039150611.1,499
6729568,XP_002104876.1,442
6730191,XP_016036952.1,60
6726381,XP_016039953.2,431
6728006,XP_016034604.1,651
6728351,XP_002103699.1,361
6728351,XP_016034976.1,257
6729047,XP_016035699.1,680
6729047,XP_039150909.1,678
6730875,XP_016023296.2,1421
6731950,XP_016024613.1,1411
6740171,XP_016039685.1,2224
6734328,XP_016027399.1,211
6734328,XP_016027400.1,211
6734328,XP_044778331.1,211
27206470,XP_016035065.1,644
6725463,XP_016038566.1,687
6725463,XP_016038567.1,687
6725463,XP_016038572.1,687
6725463,XP_039153703.1,687
6725463,XP_039153704.1,668
6725463,XP_039153705.1,660
6725463,XP_039153706.1,641
6728340,XP_016022730.2,643
6736190,XP_002083086.1,772
6740638,XP_039153700.1,1669
6740638,XP_039153702.1,1642
6730169,XP_016036927.1,134
6730169,XP_016036928.1,134
6730177,XP_002105468.2,1493
